date,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm
1/1/2015,25,24,1008.88,100,65,29,21,25,22,1012,1007,0.4
1/2/2015,26,24,1011.18,100,66,30,22,26,22,1014,1009,0
1/3/2015,26,24,1012.48,100,60,30,23,25,23,1015,1010,0
1/4/2015,26,23,1012.57,100,58,30,22,25,22,1016,1010,0
1/5/2015,26,23,1012.3,100,49,30,22,25,20,1015,1010,0
1/6/2015,26,23,1012.6,100,50,30,21,25,21,1016,1011,0
1/7/2015,26,23,1012.38,100,55,30,21,24,22,1016,1010,0
1/8/2015,25,22,1012.78,100,56,29,21,24,21,1016,1011,0
1/9/2015,26,22,1014.12,100,55,29,22,23,18,1017,1012,0
1/10/2015,23,18,1014.63,94,40,29,17,22,14,1018,1012,0
1/11/2015,24,18,1014.66,88,33,29,19,20,15,1018,1013,0
1/12/2015,24,18,1013.96,94,34,28,19,19,15,1017,1012,0
1/13/2015,24,18,1013.14,94,41,29,18,20,16,1017,1011,0
1/14/2015,23,18,1012.96,94,43,28,18,20,16,1016,1011,0
1/15/2015,24,19,1012.9,94,43,29,18,22,18,1016,1011,0
1/16/2015,25,21,1013.33,100,48,29,21,23,19,1016,1011,0
1/17/2015,24,19,1013.94,94,41,29,20,22,16,1017,1012,0
1/18/2015,24,19,1014.37,100,45,28,20,21,17,1017,1012,0
1/19/2015,24,18,1014.32,94,39,29,19,19,17,1017,1012,0
1/20/2015,24,18,1015.73,94,41,29,19,20,17,1018,1014,0
1/21/2015,24,18,1017.17,88,29,29,19,20,14,1020,1015,0
1/22/2015,24,20,1016.81,88,58,28,20,22,18,1019,1014,0.5
1/23/2015,26,22,1014.4,100,52,29,22,23,20,1017,1012,0
1/24/2015,25,22,1014.5,94,62,29,21,24,19,1017,1012,3
1/25/2015,24,20,1015.87,100,46,28,19,21,18,1019,1014,0
1/26/2015,24,20,1015.02,94,42,29,20,21,18,1018,1013,0
1/27/2015,24,21,1013.59,94,53,28,21,22,19,1017,1011,0
1/28/2015,24,20,1012.24,94,48,29,20,23,19,1015,1010,3
1/29/2015,26,21,1012.76,94,47,30,22,23,19,1016,1010,0
1/30/2015,26,21,1014.53,94,48,29,22,23,19,1017,1013,0
1/31/2015,24,20,1014.88,100,43,29,20,22,19,1017,1013,0
2/1/2015,24,21,1014.58,100,46,29,20,22,20,1017,1012,0
2/2/2015,25,20,1015.9,94,45,29,21,22,18,1018,1014,0
2/3/2015,25,20,1017.27,88,43,30,20,21,18,1020,1015,0
2/4/2015,26,21,1016.67,94,44,30,21,22,19,1020,1014,0
2/5/2015,26,20,1015.07,94,36,31,20,22,17,1017,1013,0
2/6/2015,26,21,1014.63,94,43,30,21,22,19,1017,1013,0
2/7/2015,25,20,1014.23,94,37,30,20,22,16,1017,1012,0
2/8/2015,25,20,1013.73,94,42,30,20,21,18,1016,1011,0
2/9/2015,25,19,1013.92,88,38,30,20,21,17,1016,1012,0
2/10/2015,25,20,1014.51,83,47,29,21,21,18,1018,1012,0
2/11/2015,25,21,1013.42,88,51,29,21,22,20,1016,1011,0
2/12/2015,26,21,1012.81,94,40,31,21,22,19,1016,1010,0
2/13/2015,26,22,1012.52,94,50,31,21,23,20,1016,1010,0
2/14/2015,26,21,1011.36,100,36,32,20,23,16,1014,1009,0
2/15/2015,26,20,1011.78,88,23,33,20,23,13,1014,1009,0
2/16/2015,26,20,1012.85,100,28,32,21,22,16,1016,1010,0
2/17/2015,25,21,1012.43,100,37,29,21,22,16,1016,1009,0
2/18/2015,26,20,1011.9,94,29,32,20,22,12,1015,1009,0
